,Location,Date,Time,People
1001,c,010919,113002,8
1002,c,010919,113005,8
1003,c,010919,113008,8
1004,c,010919,113011,7
1005,c,010919,113014,6
1006,c,010919,113017,4
1007,c,010919,113020,2
1008,c,010919,113023,2
1009,c,010919,113025,2
1010,c,010919,113028,4
1011,c,010919,113031,3
1012,c,010919,113034,1
1013,c,010919,113037,2
1014,c,010919,113040,0
1015,c,010919,113043,3
1016,c,010919,113047,3
1017,c,010919,113049,6
1018,c,010919,113052,5
1019,c,010919,113054,4
1020,c,010919,113057,4
1021,c,010919,113059,4
1022,c,010919,113103,3
1023,c,010919,113106,4
1024,c,010919,113109,2
1025,c,010919,113112,2
1026,c,010919,113115,2
1027,c,010919,113118,2
1028,c,010919,113122,4
1029,c,010919,113125,4
1030,c,010919,113128,2
1031,c,010919,113131,3
1032,c,010919,113134,5
1033,c,010919,113138,6
1034,c,010919,113140,7
1035,c,010919,113143,7
1036,c,010919,113146,6
1037,c,010919,113148,4
1038,c,010919,113151,5
1039,c,010919,113154,4
1040,c,010919,113157,4
1041,c,010919,113200,5
1042,c,010919,113202,7
1043,c,010919,113205,6
1044,c,010919,113208,7
1045,c,010919,113210,4
1046,c,010919,113214,2
1047,c,010919,113216,8
1048,c,010919,113219,12
1049,c,010919,113222,9
1050,c,010919,113225,12
1051,c,010919,113228,11
1052,c,010919,113230,9
1053,c,010919,113233,10
1054,c,010919,113236,6
1055,c,010919,113239,6
1056,c,010919,113242,3
1057,c,010919,113245,3
1058,c,010919,113248,3
1059,c,010919,113251,5
1060,c,010919,113254,6
1061,c,010919,113257,5
1062,c,010919,113300,6
1063,c,010919,113303,6
1064,c,010919,113307,2
1065,c,010919,113310,1
1066,c,010919,113312,1
1067,c,010919,113316,2
1068,c,010919,113319,3
1069,c,010919,113322,4
1070,c,010919,113325,3
1071,c,010919,113328,3
1072,c,010919,113330,5
1073,c,010919,113333,3
1074,c,010919,113336,3
1075,c,010919,113338,4
1076,c,010919,113341,3
1077,c,010919,113344,2
1078,c,010919,113348,2
1079,c,010919,113351,1
1080,c,010919,113353,1
1081,c,010919,113356,2
1082,c,010919,113359,2
1083,c,010919,113401,2
1084,c,010919,113404,2
1085,c,010919,113407,3
1086,c,010919,113411,3
1087,c,010919,113414,2
1088,c,010919,113417,4
1089,c,010919,113419,4
1090,c,010919,113422,2
1091,c,010919,113425,1
1092,c,010919,113428,0
1093,c,010919,113431,0
1094,c,010919,113434,0
1095,c,010919,113436,0
1096,c,010919,113439,0
1097,c,010919,113443,1
1098,c,010919,113446,0
1099,c,010919,113449,0
1100,c,010919,113451,0
1101,c,010919,113454,2
1102,c,010919,113457,2
1103,c,010919,113500,2
1104,c,010919,113503,2
1105,c,010919,113505,2
1106,c,010919,113509,2
1107,c,010919,113512,0
1108,c,010919,113515,1
1109,c,010919,113517,3
1110,c,010919,113520,4
1111,c,010919,113523,6
1112,c,010919,113526,4
1113,c,010919,113529,6
1114,c,010919,113532,3
1115,c,010919,113535,2
1116,c,010919,113538,3
1117,c,010919,113541,3
1118,c,010919,113543,2
1119,c,010919,113546,2
1120,c,010919,113549,1
1121,c,010919,113552,0
1122,c,010919,113555,0
1123,c,010919,113558,0
1124,c,010919,113601,0
1125,c,010919,113603,1
1126,c,010919,113606,2
1127,c,010919,113609,3
1128,c,010919,113612,4
1129,c,010919,113615,3
1130,c,010919,113618,4
1131,c,010919,113621,2
1132,c,010919,113625,2
1133,c,010919,113628,2
1134,c,010919,113631,3
1135,c,010919,113634,2
1136,c,010919,113636,4
1137,c,010919,113639,2
1138,c,010919,113641,4
1139,c,010919,113644,4
1140,c,010919,113647,1
1141,c,010919,113650,2
1142,c,010919,113653,2
1143,c,010919,113656,0
1144,c,010919,113659,0
1145,c,010919,113702,0
1146,c,010919,113705,1
